0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
23.201,25.03,37.86,37.86,59.23,42.14,50.68,27.48
22.591,25.64,38.47,38.47,59.23,42.75,50.68,26.87
21.981,25.64,39.09,38.47,59.23,42.14,50.68,27.48
21.981,25.03,37.86,37.86,58.62,42.75,50.68,26.87
21.981,25.03,39.09,37.86,58.01,43.97,51.9,27.48
21.371,25.64,39.09,38.47,58.01,42.75,50.68,26.87
21.371,25.03,39.09,38.47,57.4,43.36,51.29,26.87
21.371,25.03,39.09,37.86,56.792,42.75,51.29,26.87
21.371,25.03,39.7,37.86,56.181,43.36,51.29,27.48
20.761,24.42,39.09,38.47,56.181,43.97,51.29,27.48
20.761,24.42,40.31,37.86,56.181,43.36,51.29,26.87
20.761,24.42,39.09,38.47,54.96,43.97,51.29,26.26
20.151,23.81,39.7,37.86,54.96,43.97,51.29,26.87
20.151,24.42,40.31,38.47,54.349,44.58,51.29,26.26
20.151,23.81,40.31,38.47,53.739,43.36,51.29,26.26
20.151,24.42,40.31,37.86,53.128,43.97,50.68,26.26
19.541,23.81,40.31,38.47,53.128,43.97,50.68,26.87
19.541,23.81,40.92,38.47,52.52,44.58,51.29,26.26
19.541,23.81,40.92,38.47,51.91,44.58,51.29,26.26
18.321,23.2,40.92,37.86,51.3,44.58,51.29,26.26
18.931,23.81,40.92,38.47,50.69,45.19,50.68,26.26
18.321,23.2,41.53,38.47,50.69,45.19,50.07,25.65
18.321,23.2,41.53,38.47,50.07,45.19,50.68,25.65
18.321,23.2,42.14,38.47,49.46,45.19,50.68,25.65
18.321,23.2,42.14,39.08,49.46,45.8,50.68,25.65
17.711,23.2,42.14,38.47,48.85,45.8,50.07,25.04
17.711,23.2,42.14,38.47,48.24,45.19,50.07,25.04
17.711,22.59,42.75,38.47,48.24,45.8,50.07,25.04
17.101,22.59,42.75,38.47,47.63,46.41,50.07,24.43
17.711,22.59,42.75,38.47,47.02,46.41,50.07,24.43
17.711,22.59,42.75,39.08,46.41,47.02,49.46,24.43
16.491,22.59,43.36,38.47,45.8,46.41,49.46,23.82
17.101,22.59,43.36,38.47,45.8,47.02,48.85,24.43
16.491,21.98,43.36,38.47,45.19,47.02,48.85,24.43
16.491,21.98,43.36,38.47,43.97,47.02,48.85,23.82
15.881,21.98,43.36,38.47,43.97,47.63,48.85,23.2
15.881,21.98,44.58,38.47,43.36,47.02,48.85,23.2
15.881,21.37,44.58,38.47,43.36,47.63,48.24,23.2
15.881,21.98,44.58,38.47,42.75,47.63,47.63,21.98
15.881,21.37,44.58,39.08,42.14,47.63,47.63,22.59
15.271,21.37,44.58,38.47,42.14,48.24,48.24,22.59
15.881,20.76,45.19,37.86,40.92,48.24,47.63,22.59
15.271,21.37,45.19,38.47,40.3,48.24,46.41,22.59
14.651,21.37,45.19,39.08,40.3,48.24,47.02,21.98
14.651,20.76,45.8,39.08,39.69,48.24,47.02,21.98
14.651,20.76,45.8,38.47,38.47,48.85,46.41,21.37
14.651,20.76,46.41,38.47,38.47,48.85,46.41,21.37
14.651,21.37,46.41,38.47,37.86,48.85,46.41,21.37
14.651,20.15,46.41,39.08,38.47,49.47,45.19,21.37
14.041,20.76,47.02,39.08,36.64,48.85,45.8,20.76
14.041,20.76,46.41,39.08,36.64,49.47,45.8,20.76
14.651,20.15,47.02,39.08,36.03,49.47,45.19,21.37
14.041,20.15,47.02,39.08,35.42,49.47,44.58,20.76
14.041,20.15,47.02,39.08,34.81,50.08,44.58,20.76
13.431,20.15,47.63,39.08,34.81,50.08,43.97,20.15
14.041,19.54,47.02,38.47,33.59,50.08,43.97,19.54
13.431,19.54,48.24,39.08,33.59,50.08,43.36,20.15
13.431,19.54,47.63,38.47,32.98,50.69,43.97,19.54
13.431,20.15,48.24,39.08,32.98,50.08,42.74,20.15
13.431,19.54,47.63,39.08,32.37,50.08,43.36,20.15
12.821,19.54,48.24,39.08,31.76,50.08,43.36,20.76
12.821,19.54,48.24,39.08,30.53,50.69,42.74,20.15
12.821,20.15,48.24,39.08,29.92,50.69,42.74,20.15
12.821,19.54,48.86,39.08,29.92,51.3,42.13,20.15
12.211,20.15,48.86,39.08,29.31,50.69,41.52,20.15
12.211,20.15,48.86,39.08,28.7,51.3,42.13,20.15
12.211,20.76,48.86,39.08,28.7,50.69,41.52,19.54
12.821,20.15,48.86,39.69,27.48,51.3,40.91,19.54
12.821,20.15,48.86,39.69,28.09,51.91,40.91,19.54
12.211,20.76,48.86,39.69,27.48,51.3,40.91,18.93
12.211,20.15,49.47,39.69,26.26,51.91,39.691,18.32
12.211,20.76,49.47,40.3,26.26,51.91,39.691,18.93
12.211,20.15,49.47,40.3,26.26,51.91,40.302,18.93
12.211,20.15,49.47,40.3,25.04,52.52,39.691,18.93
11.601,20.76,49.47,39.69,25.04,51.91,39.081,18.93
12.211,20.15,49.47,39.69,23.82,52.52,39.081,18.93
11.601,20.15,50.69,39.69,23.82,52.52,38.47,18.93
12.211,20.15,50.08,39.69,23.82,53.13,38.47,18.93
11.601,19.54,50.69,39.69,23.21,52.52,38.47,18.93
10.991,19.54,50.08,39.69,22.6,53.13,38.47,19.54
12.211,20.15,50.69,39.69,22.6,53.13,37.859,18.93
11.601,19.54,50.69,39.69,22.6,53.13,37.249,18.93
11.601,19.54,50.69,39.69,21.98,53.13,36.638,18.32
11.601,19.54,50.69,39.69,21.37,53.13,36.638,18.93
10.991,19.54,50.69,40.3,21.37,53.74,36.638,18.32
11.601,19.54,50.69,40.3,20.76,53.74,36.638,18.32
10.991,20.15,51.3,39.69,20.76,53.74,36.638,18.32
10.991,20.15,51.3,40.3,20.15,54.35,36.03,18.32
11.601,20.15,51.3,40.3,19.54,53.74,36.03,18.32
11.601,20.15,51.3,40.91,19.54,53.74,36.03,17.71
11.601,20.15,51.91,40.3,18.93,54.35,34.81,17.71
11.601,20.15,51.91,40.91,19.54,53.74,35.42,18.32
10.991,20.76,51.3,40.3,18.32,54.35,35.42,18.32
11.601,20.15,51.91,40.3,18.93,54.35,34.81,17.71
10.991,20.15,51.91,40.91,18.93,54.35,34.81,17.71
11.601,20.76,51.91,40.91,18.32,54.35,34.2,18.32
11.601,20.76,52.52,40.91,17.71,54.96,34.2,18.32
10.991,20.15,51.91,40.91,18.32,54.35,34.2,18.32
11.601,20.76,52.52,40.91,17.71,54.35,33.58,17.71
10.991,20.76,52.52,40.91,17.71,54.96,33.58,18.32
11.601,21.37,51.91,40.91,17.1,54.35,33.58,18.32
11.601,20.76,52.52,40.91,17.71,54.35,33.58,18.32
10.991,20.76,52.52,40.91,17.1,54.96,33.58,18.93
11.601,20.15,52.52,40.91,17.1,54.96,32.36,18.32
11.601,20.15,52.52,40.3,16.49,54.96,32.36,18.32
10.991,20.76,52.52,40.91,16.49,55.57,32.36,18.32
10.991,20.15,52.52,40.91,16.49,54.96,32.36,18.93
11.601,20.76,52.52,40.91,16.49,55.57,31.75,18.93
10.991,20.15,53.13,40.3,16.49,55.57,31.75,18.93
11.601,20.15,53.13,40.91,16.49,55.57,31.75,18.93
10.991,20.76,52.52,40.91,15.88,56.18,31.14,18.93
11.601,20.76,53.13,40.3,15.88,55.57,31.14,18.93
11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93
11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93
11.601,20.76,53.74,40.91,15.88,55.57,30.53,18.93
10.991,21.37,53.74,41.52,15.88,56.18,30.53,18.32
11.601,21.37,53.74,41.52,15.27,56.18,30.53,18.93
11.601,21.37,53.74,41.52,15.88,56.18,29.92,18.93
11.601,21.98,53.74,41.52,16.49,56.18,29.92,19.54
12.211,21.98,53.74,41.52,15.88,55.57,29.92,19.54
10.991,21.98,53.74,41.52,16.49,56.79,28.7,19.54
12.211,21.98,54.35,41.52,15.88,56.18,29.31,19.54
11.601,21.98,53.74,41.52,15.88,56.18,29.31,19.54
11.601,21.37,53.74,41.52,15.88,56.18,28.7,19.54
12.211,21.37,54.35,40.91,15.88,56.79,28.7,19.54
11.601,21.37,54.35,40.91,15.88,56.18,28.7,20.15
11.601,20.76,54.35,40.91,16.49,56.79,28.7,20.15
12.211,20.76,54.35,40.91,15.88,57.4,28.7,20.15
11.601,21.37,54.35,41.52,15.88,56.79,28.09,19.54
12.211,21.37,54.96,40.91,15.88,56.79,28.09,20.15
12.211,21.37,54.35,40.91,15.88,57.4,27.48,20.15
12.211,21.37,54.35,41.52,16.49,56.79,28.09,20.76
12.821,21.37,54.96,41.52,16.49,57.4,28.09,20.15
12.821,20.76,54.96,40.91,16.49,57.4,28.09,20.76
12.211,21.37,54.96,40.91,16.49,56.79,27.48,21.37
12.211,21.37,55.57,40.91,17.1,57.4,27.48,20.76
12.821,20.76,54.96,40.91,17.1,57.4,27.48,21.37
12.821,21.37,54.96,40.91,17.1,57.4,27.48,21.37
12.821,21.37,55.57,41.52,17.1,57.4,27.48,21.98
12.821,21.37,56.18,40.91,17.1,58.01,27.48,21.98
12.821,21.37,55.57,41.52,17.1,58.01,26.87,21.98
12.821,21.98,55.57,41.52,17.71,58.01,26.87,21.98
12.821,21.98,55.57,41.52,17.1,57.4,26.87,22.59
